dwell_time_min,cut,replicate,mutant,date,salt,hmgb1
1.0177777777777777,0,5,12HeptG7A,190423,Mg,80
0.7394444444444445,0,5,12HeptG7A,190423,Mg,80
4.512777777777778,1,5,12HeptG7A,190423,Mg,80
1.7844444444444445,1,5,12HeptG7A,190423,Mg,80
0.8688888888888889,0,5,12HeptG7A,190423,Mg,80
1.8194444444444444,0,5,12HeptG7A,190423,Mg,80
0.9083333333333333,1,5,12HeptG7A,190423,Mg,80
8.338888888888889,1,5,12HeptG7A,190423,Mg,80
15.462222222222222,0,5,12HeptG7A,190423,Mg,80
30.807222222222222,0,5,12HeptG7A,190423,Mg,80
7.068888888888889,1,5,12HeptG7A,190423,Mg,80
0.8972222222222223,0,6,12HeptG7A,190423,Mg,80
3.368333333333333,1,6,12HeptG7A,190423,Mg,80
1.5822222222222222,1,7,12HeptG7A,190423,Mg,80
2.3383333333333334,0,7,12HeptG7A,190423,Mg,80
0.965,0,7,12HeptG7A,190423,Mg,80
0.7633333333333333,0,7,12HeptG7A,190423,Mg,80
1.3033333333333332,0,8,12HeptG7A,190423,Mg,80
0.885,0,8,12HeptG7A,190423,Mg,80
2.1505555555555556,0,8,12HeptG7A,190423,Mg,80
1.8066666666666666,1,9,12HeptG7A,190423,Mg,80
2.1644444444444444,1,9,12HeptG7A,190423,Mg,80
0.7166666666666667,0,9,12HeptG7A,190423,Mg,80
1.835,0,9,12HeptG7A,190423,Mg,80
2.3866666666666667,0,9,12HeptG7A,190423,Mg,80
1.2627777777777778,0,10,12HeptG7A,190423,Mg,80
3.472777777777778,0,10,12HeptG7A,190423,Mg,80
0.805,0,11,12HeptG7A,190423,Mg,80
1.775,0,11,12HeptG7A,190423,Mg,80
7.687777777777778,0,11,12HeptG7A,190423,Mg,80
41.26888888888889,0,11,12HeptG7A,190423,Mg,80
2.486666666666667,0,11,12HeptG7A,190423,Mg,80
0.8055555555555556,0,11,12HeptG7A,190423,Mg,80
1.1594444444444445,0,11,12HeptG7A,190423,Mg,80
3.797222222222222,1,11,12HeptG7A,190423,Mg,80
0.8038888888888889,0,12,12HeptG7A,190423,Mg,80
15.446666666666667,1,13,12HeptG7A,190423,Mg,80
1.4794444444444443,1,14,12HeptG7A,190423,Mg,80
1.1088888888888888,0,14,12HeptG7A,190423,Mg,80
34.36611111111111,1,14,12HeptG7A,190423,Mg,80
0.76,0,14,12HeptG7A,190423,Mg,80
3.4316666666666666,0,14,12HeptG7A,190423,Mg,80
2.1638888888888888,0,15,12HeptG7A,190423,Mg,80
8.801666666666666,0,15,12HeptG7A,190423,Mg,80
2.6255555555555556,1,15,12HeptG7A,190423,Mg,80
7.748888888888889,1,15,12HeptG7A,190423,Mg,80
3.9116666666666666,1,16,12HeptG7A,190423,Mg,80
0.7344444444444445,0,16,12HeptG7A,190423,Mg,80
1.25,0,16,12HeptG7A,190423,Mg,80
10.157222222222222,1,16,12HeptG7A,190423,Mg,80
20.342777777777776,0,16,12HeptG7A,190423,Mg,80
1.2522222222222221,1,16,12HeptG7A,190423,Mg,80
1.985,0,17,12HeptG7A,190423,Mg,80
2.3966666666666665,0,19,12HeptG7A,190423,Mg,80
4.885555555555555,1,19,12HeptG7A,190423,Mg,80
1.7738888888888888,1,19,12HeptG7A,190423,Mg,80
0.7733333333333333,0,19,12HeptG7A,190423,Mg,80
9.914444444444445,1,19,12HeptG7A,190423,Mg,80
0.73,0,19,12HeptG7A,190423,Mg,80
1.5916666666666666,0,1,12SpacG10T,170808,Mg,80
1.9288888888888889,0,2,12SpacG10T,170808,Mg,80
5.477222222222222,1,2,12SpacG10T,170808,Mg,80
9.682777777777778,1,2,12SpacG10T,170808,Mg,80
1.5933333333333333,1,2,12SpacG10T,170808,Mg,80
1.5405555555555555,1,3,12SpacG10T,170808,Mg,80
3.908888888888889,1,3,12SpacG10T,170808,Mg,80
2.5683333333333334,1,3,12SpacG10T,170808,Mg,80
15.355555555555556,1,3,12SpacG10T,170808,Mg,80
1.3777777777777778,0,3,12SpacG10T,170808,Mg,80
3.207777777777778,1,3,12SpacG10T,170808,Mg,80
3.247777777777778,1,3,12SpacG10T,170808,Mg,80
2.568888888888889,1,3,12SpacG10T,170808,Mg,80
4.563888888888889,0,3,12SpacG10T,170808,Mg,80
1.5744444444444445,1,4,12SpacG10T,170808,Mg,80
0.96,1,4,12SpacG10T,170808,Mg,80
0.8061111111111111,0,4,12SpacG10T,170808,Mg,80
1.843888888888889,1,4,12SpacG10T,170808,Mg,80
6.54,1,4,12SpacG10T,170808,Mg,80
10.091111111111111,1,4,12SpacG10T,170808,Mg,80
7.637777777777778,0,2,12HeptC3T,161102,Mg,80
1.425,0,2,12HeptC3T,161102,Mg,80
1.461111111111111,0,2,12HeptC3T,161102,Mg,80
0.7272222222222222,0,2,12HeptC3T,161102,Mg,80
2.1866666666666665,0,2,12HeptC3T,161102,Mg,80
0.7377777777777778,0,2,12HeptC3T,161102,Mg,80
3.3955555555555557,0,4,12HeptC3T,161102,Mg,80
4.262222222222222,0,4,12HeptC3T,161102,Mg,80
0.8261111111111111,0,4,12HeptC3T,161102,Mg,80
7.731111111111111,0,4,12HeptC3T,161102,Mg,80
3.178888888888889,0,4,12HeptC3T,161102,Mg,80
1.106111111111111,0,4,12HeptC3T,161102,Mg,80
1.7066666666666668,0,4,12HeptC3T,161102,Mg,80
0.7766666666666666,0,4,12HeptC3T,161102,Mg,80
0.7233333333333334,0,5,12HeptC3T,161102,Mg,80
20.385555555555555,0,5,12HeptC3T,161102,Mg,80
1.0333333333333334,0,5,12HeptC3T,161102,Mg,80
29.157222222222224,0,5,12HeptC3T,161102,Mg,80
4.902777777777778,0,5,12HeptC3T,161102,Mg,80
2.233888888888889,0,5,12HeptC3T,161102,Mg,80
0.9411111111111111,0,5,12HeptC3T,161102,Mg,80
3.567222222222222,0,5,12HeptC3T,161102,Mg,80
2.042777777777778,0,5,12HeptC3T,161102,Mg,80
5.108333333333333,0,5,12HeptC3T,161102,Mg,80
6.982777777777778,0,5,12HeptC3T,161102,Mg,80
1.4072222222222222,0,6,12HeptC3T,161102,Mg,80
3.323888888888889,0,6,12HeptC3T,161102,Mg,80
4.727777777777778,0,6,12HeptC3T,161102,Mg,80
1.775,0,6,12HeptC3T,161102,Mg,80
3.1222222222222222,0,6,12HeptC3T,161102,Mg,80
1.8588888888888888,0,6,12HeptC3T,161102,Mg,80
1.9183333333333332,0,6,12HeptC3T,161102,Mg,80
0.8922222222222222,0,6,12HeptC3T,161102,Mg,80
16.346666666666668,0,6,12HeptC3T,161102,Mg,80
4.769444444444445,0,6,12HeptC3T,161102,Mg,80
10.47,0,6,12HeptC3T,161102,Mg,80
2.6438888888888887,0,6,12HeptC3T,161102,Mg,80
6.9366666666666665,0,6,12HeptC3T,161102,Mg,80
0.7522222222222222,0,6,12HeptC3T,161102,Mg,80
36.36555555555555,1,6,12HeptC3T,161102,Mg,80
5.914444444444444,0,6,12HeptC3T,161102,Mg,80
16.210555555555555,0,6,12HeptC3T,161102,Mg,80
2.1983333333333333,0,6,12HeptC3T,161102,Mg,80
1.6377777777777778,0,6,12HeptC3T,161102,Mg,80
10.533333333333333,1,6,12HeptC3T,161102,Mg,80
6.790555555555556,0,7,12HeptC3T,161102,Mg,80
4.360555555555556,0,7,12HeptC3T,161102,Mg,80
0.8716666666666667,0,9,12HeptC3T,161102,Mg,80
0.7661111111111111,0,9,12HeptC3T,161102,Mg,80
0.7983333333333333,0,9,12HeptC3T,161102,Mg,80
0.8527777777777777,0,9,12HeptC3T,161102,Mg,80
0.7677777777777778,0,2,DFL161,180330,Mg,80
0.7372222222222222,0,2,DFL161,180330,Mg,80
0.7472222222222222,0,3,DFL161,180330,Mg,80
0.7666666666666667,0,3,DFL161,180330,Mg,80
1.2161111111111111,1,3,DFL161,180330,Mg,80
1.0766666666666667,0,6,DFL161,180330,Mg,80
8.18,0,6,DFL161,180330,Mg,80
4.92,0,6,DFL161,180330,Mg,80
8.038333333333334,0,6,DFL161,180330,Mg,80
0.7244444444444444,0,7,DFL161,180330,Mg,80
0.7433333333333333,0,1,12HeptA4T,190702,Ca,80
2.232222222222222,0,1,12HeptA4T,190702,Ca,80
0.8927777777777778,0,1,12HeptA4T,190702,Ca,80
1.5494444444444444,0,1,12HeptA4T,190702,Ca,80
15.908333333333333,0,2,12HeptA4T,190702,Ca,80
11.063888888888888,0,2,12HeptA4T,190702,Ca,80
0.9133333333333333,0,2,12HeptA4T,190702,Ca,80
1.4733333333333334,0,2,12HeptA4T,190702,Ca,80
5.097777777777778,0,2,12HeptA4T,190702,Ca,80
1.6327777777777779,0,2,12HeptA4T,190702,Ca,80
7.466111111111111,0,2,12HeptA4T,190702,Ca,80
1.7077777777777778,0,2,12HeptA4T,190702,Ca,80
1.3811111111111112,0,3,12HeptA4T,190702,Ca,80
